"","ticker","transaction","cost_share","number_shares","total_value","date","time"
"180","PSNL","Option Exercise","9.16","103,668","949,599",2025-11-28,"05:09 PM"
"181","PSNL","Sale","10.78","103,668","1,117,541",2025-11-28,"05:09 PM"
"182","CPRX","Option Exercise","4.21","10,983","46,238",2025-11-28,"05:00 PM"
"183","CPRX","Sale","23.33","10,983","256,244",2025-11-28,"05:00 PM"
"184","UGI","Option Exercise","33.76","15,000","506,400",2025-11-28,"04:59 PM"
"185","UGI","Sale","38.68","15,000","580,136",2025-11-28,"04:59 PM"
"186","PLXS","Sale","144.93","1,347","195,222",2025-11-28,"04:48 PM"
"187","PLXS","Sale","143.18","2,327","333,180",2025-11-28,"04:48 PM"
"188","SPRU","Buy","4.56","34,851","159,008",2025-11-28,"04:43 PM"
"189","SPRU","Buy","4.97","64,031","318,144",2025-11-28,"04:43 PM"
"190","SPRU","Buy","4.88","1,940","9,467",2025-11-28,"04:43 PM"
"191","RELY","Sale","13.25","4,500","59,625",2025-11-28,"04:34 PM"
"192","CSAI","Sale","1.07","25,000","26,750",2025-11-28,"04:31 PM"
"193","CSAI","Sale","1.11","25,000","27,750",2025-11-28,"04:31 PM"
"194","CUBI","Sale","70.06","7,479","523,947",2025-11-28,"04:31 PM"
"195","DGX","Option Exercise","95.80","55,093","5,277,634",2025-11-28,"04:30 PM"
"196","DGX","Sale","192.22","55,093","10,589,760",2025-11-28,"04:30 PM"
"197","DGX","Sale","191.76","1,250","239,700",2025-11-28,"04:30 PM"
"198","ASTS","Sale","56.00","10,000","560,010",2025-11-28,"04:30 PM"
"199","GRND","Sale","12.52","29,383","367,875",2025-11-28,"04:30 PM"
"200","ENOV","Buy","30.32","2,468","74,830",2025-11-28,"04:30 PM"
"201","COMP","Sale","11.00","49,900","549,045",2025-11-28,"04:20 PM"
