"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"SGI","Buy","93.40","32,000","2,988,747","Dec 04 04:24 PM",2025-12-04,16:24:00
"BMEA","Buy","0.99","100,000","99,180","Dec 04 04:15 PM",2025-12-04,16:15:00
"JMSB","Buy","19.33","1,345","26,003","Dec 04 04:12 PM",2025-12-04,16:12:00
"FRD","Buy","18.74","500","9,370","Dec 04 04:08 PM",2025-12-04,16:08:00
"IRIX","Buy","0.95","1,584","1,498","Dec 04 04:02 PM",2025-12-04,16:02:00
"SRBK","Buy","15.75","300","4,725","Dec 04 03:36 PM",2025-12-04,15:36:00
"RCG","Buy","2.60","774","2,012","Dec 04 02:57 PM",2025-12-04,14:57:00
"RCG","Buy","2.60","360","936","Dec 04 02:57 PM",2025-12-04,14:57:00
"GRX","Buy","9.69","2,500","24,219","Dec 04 02:14 PM",2025-12-04,14:14:00
"TPL","Buy","875.90","1","876","Dec 04 01:38 PM",2025-12-04,13:38:00
"MSBI","Buy","17.69","5,598","99,029","Dec 04 12:43 PM",2025-12-04,12:43:00
"MSBI","Buy","17.69","500","8,845","Dec 04 12:40 PM",2025-12-04,12:40:00
"MSBI","Buy","17.56","5,000","87,800","Dec 04 12:30 PM",2025-12-04,12:30:00
"MSBI","Buy","17.89","5,000","89,443","Dec 04 12:25 PM",2025-12-04,12:25:00
"CFND","Buy","5.31","6,500","34,515","Dec 04 12:21 PM",2025-12-04,12:21:00
"LOCL","Proposed Sale","2.33","2,500","5,819","Dec 04 04:29 PM",2025-12-04,16:29:00
"SNA","Proposed Sale","346.80","3,091","1,071,972","Dec 04 04:28 PM",2025-12-04,16:28:00
"CHA","Proposed Sale","15.28","271,592","4,149,929","Dec 04 04:28 PM",2025-12-04,16:28:00
"PB","Sale","70.76","800","56,604","Dec 04 04:28 PM",2025-12-04,16:28:00
"KSS","Sale","22.75","25,000","568,750","Dec 04 04:27 PM",2025-12-04,16:27:00
"CLBT","Proposed Sale","18.05","8,448","152,524","Dec 04 04:27 PM",2025-12-04,16:27:00
"AXON","Proposed Sale","550.63","100","55,063","Dec 04 04:27 PM",2025-12-04,16:27:00
"MEDP","Sale","590.69","668","394,581","Dec 04 04:26 PM",2025-12-04,16:26:00
"HURN","Proposed Sale","170.11","662","112,616","Dec 04 04:26 PM",2025-12-04,16:26:00
"WDAY","Sale","212.19","82,025","17,404,800","Dec 04 04:25 PM",2025-12-04,16:25:00
"AIP","Sale","14.82","438","6,493","Dec 04 04:25 PM",2025-12-04,16:25:00
"CARS","Sale","12.03","27,358","329,117","Dec 04 04:25 PM",2025-12-04,16:25:00
"AIP","Sale","14.82","1,246","18,471","Dec 04 04:24 PM",2025-12-04,16:24:00
"AIP","Sale","15.52","2,058","31,943","Dec 04 04:24 PM",2025-12-04,16:24:00
"AIP","Sale","14.82","258","3,825","Dec 04 04:24 PM",2025-12-04,16:24:00
"AIP","Sale","14.79","425","6,286","Dec 04 04:24 PM",2025-12-04,16:24:00
"INOD","Proposed Sale","60.16","23,654","1,422,911","Dec 04 04:24 PM",2025-12-04,16:24:00
"AIP","Sale","14.82","612","9,073","Dec 04 04:24 PM",2025-12-04,16:24:00
"AIP","Sale","14.79","202","2,988","Dec 04 04:24 PM",2025-12-04,16:24:00
"RKLB","Proposed Sale","48.00","10,000","480,000","Dec 04 04:23 PM",2025-12-04,16:23:00
"INOD","Proposed Sale","60.15","24,808","1,492,303","Dec 04 04:22 PM",2025-12-04,16:22:00
"SLDB","Sale","5.11","4,932","25,203","Dec 04 04:22 PM",2025-12-04,16:22:00
"AHCO","Proposed Sale","9.43","5,000","47,150","Dec 04 04:21 PM",2025-12-04,16:21:00
"SLDB","Sale","5.11","10,808","55,229","Dec 04 04:20 PM",2025-12-04,16:20:00
"OPTU","Proposed Sale","1.91","109,505","208,684","Dec 04 04:20 PM",2025-12-04,16:20:00
"BBNX","Sale","29.34","1,063","31,184","Dec 04 04:20 PM",2025-12-04,16:20:00
"BBNX","Sale","29.34","1,427","41,862","Dec 04 04:20 PM",2025-12-04,16:20:00
"BBNX","Sale","29.34","3,278","96,163","Dec 04 04:20 PM",2025-12-04,16:20:00
"SLDB","Sale","5.11","4,483","22,908","Dec 04 04:19 PM",2025-12-04,16:19:00
"SRRK","Proposed Sale","43.01","149,574","6,433,178","Dec 04 04:19 PM",2025-12-04,16:19:00
"SNSE","Proposed Sale","8.71","5,844","50,901","Dec 04 04:18 PM",2025-12-04,16:18:00
"FN","Proposed Sale","464.14","2,200","1,021,111","Dec 04 04:18 PM",2025-12-04,16:18:00
"OSCR","Sale","16.59","1,852","30,725","Dec 04 04:17 PM",2025-12-04,16:17:00
"ROK","Proposed Sale","402.22","1,164","468,189","Dec 04 04:17 PM",2025-12-04,16:17:00
