"ticker","transaction","cost_share","number_shares","total_value","datetime","date","time"
"SMRT","Buy","1.91","124,086","237,401","Dec 05 04:22 PM",2025-12-05,16:22:00
"SRTA","Buy","4.37","5,000","21,825","Dec 05 04:21 PM",2025-12-05,16:21:00
"UFI","Buy","3.42","25,811","88,274","Dec 05 04:20 PM",2025-12-05,16:20:00
"UFI","Buy","3.50","40,451","141,578","Dec 05 04:20 PM",2025-12-05,16:20:00
"HYNE","Buy","13.84","16,242","224,796","Dec 05 04:14 PM",2025-12-05,16:14:00
"HYNE","Buy","10.00","1,975","19,750","Dec 05 04:14 PM",2025-12-05,16:14:00
"SELF","Buy","5.08","4,400","22,364","Dec 05 04:12 PM",2025-12-05,16:12:00
"SELF","Buy","5.14","6,000","30,849","Dec 05 04:12 PM",2025-12-05,16:12:00
"SELF","Buy","5.13","6,000","30,770","Dec 05 04:12 PM",2025-12-05,16:12:00
"HYNE","Buy","13.66","14,284","195,119","Dec 05 04:12 PM",2025-12-05,16:12:00
"HYNE","Buy","10.00","23,925","239,250","Dec 05 04:12 PM",2025-12-05,16:12:00
"HYNE","Buy","10.00","20,000","200,000","Dec 05 04:11 PM",2025-12-05,16:11:00
"GRDN","Buy","29.61","3,370","99,786","Dec 05 04:10 PM",2025-12-05,16:10:00
"HYNE","Buy","10.00","20,000","200,000","Dec 05 04:09 PM",2025-12-05,16:09:00
"HYNE","Buy","10.00","25,000","250,000","Dec 05 04:07 PM",2025-12-05,16:07:00
"FGBI","Buy","4.99","1,800","8,982","Dec 05 04:07 PM",2025-12-05,16:07:00
"FGBI","Buy","4.89","1,800","8,802","Dec 05 04:07 PM",2025-12-05,16:07:00
"HYNE","Buy","10.00","10,000","100,000","Dec 05 04:05 PM",2025-12-05,16:05:00
"NSPR","Buy","1.85","10,130","18,740","Dec 05 04:05 PM",2025-12-05,16:05:00
"HYNE","Buy","10.00","10,000","100,000","Dec 05 04:03 PM",2025-12-05,16:03:00
"HYNE","Buy","10.00","30,000","300,000","Dec 05 04:02 PM",2025-12-05,16:02:00
"FSSL","Buy","13.39","8,588","114,993","Dec 05 04:01 PM",2025-12-05,16:01:00
"HYNE","Buy","10.00","30,000","300,000","Dec 05 04:00 PM",2025-12-05,16:00:00
"HYNE","Buy","10.00","30,000","300,000","Dec 05 03:59 PM",2025-12-05,15:59:00
"CINF","Buy","163.77","140","22,928","Dec 05 03:32 PM",2025-12-05,15:32:00
"SBSI","Buy","30.68","1,807","55,439","Dec 05 02:51 PM",2025-12-05,14:51:00
"FLO","Buy","10.90","456","4,972","Dec 05 02:17 PM",2025-12-05,14:17:00
"TPVG","Buy","6.62","47,713","316,084","Dec 05 12:46 PM",2025-12-05,12:46:00
"TPVG","Buy","6.57","24,000","157,658","Dec 05 12:46 PM",2025-12-05,12:46:00
"TPVG","Buy","6.62","47,713","316,084","Dec 05 12:46 PM",2025-12-05,12:46:00
"TPVG","Buy","6.57","24,000","157,658","Dec 05 12:46 PM",2025-12-05,12:46:00
"BUSE","Buy","25.52","1,000","25,519","Dec 05 12:37 PM",2025-12-05,12:37:00
"GRNT","Buy","5.33","9,388","50,038","Dec 05 12:08 PM",2025-12-05,12:08:00
"RCG","Buy","2.57","774","1,989","Dec 05 11:46 AM",2025-12-05,11:46:00
"RCG","Buy","2.57","360","925","Dec 05 11:46 AM",2025-12-05,11:46:00
"TPL","Buy","912.29","1","912","Dec 05 10:14 AM",2025-12-05,10:14:00
"SFIX","Proposed Sale","5.19","303,450","1,574,169","Dec 05 04:29 PM",2025-12-05,16:29:00
"STOK","Proposed Sale","31.05","7,781","241,600","Dec 05 04:29 PM",2025-12-05,16:29:00
"STOK","Proposed Sale","31.05","1,989","61,758","Dec 05 04:29 PM",2025-12-05,16:29:00
"HOOD","Proposed Sale","137.08","23,457","3,215,486","Dec 05 04:29 PM",2025-12-05,16:29:00
"FROG","Proposed Sale","62.12","50,000","3,106,000","Dec 05 04:29 PM",2025-12-05,16:29:00
"ZIP","Proposed Sale","5.30","5,803","30,756","Dec 05 04:28 PM",2025-12-05,16:28:00
"FRSH","Proposed Sale","12.60","15,012","189,151","Dec 05 04:28 PM",2025-12-05,16:28:00
"WBD","Sale","24.14","5,000","120,700","Dec 05 04:28 PM",2025-12-05,16:28:00
"WBD","Sale","25.42","5,000","127,100","Dec 05 04:28 PM",2025-12-05,16:28:00
"AIP","Proposed Sale","16.73","17,200","287,756","Dec 05 04:28 PM",2025-12-05,16:28:00
"BHE","Proposed Sale","46.80","10,000","468,000","Dec 05 04:28 PM",2025-12-05,16:28:00
"BCPC","Sale","153.97","8,000","1,231,748","Dec 05 04:28 PM",2025-12-05,16:28:00
"SION","Proposed Sale","40.88","10,250","419,020","Dec 05 04:27 PM",2025-12-05,16:27:00
"FROG","Proposed Sale","62.12","50,000","3,106,000","Dec 05 04:27 PM",2025-12-05,16:27:00
"DDOG","Proposed Sale","153.00","3,938","602,514","Dec 05 04:27 PM",2025-12-05,16:27:00
"LOCL","Proposed Sale","2.48","1,800","4,473","Dec 05 04:27 PM",2025-12-05,16:27:00
"PTC","Proposed Sale","178.50","4,658","831,453","Dec 05 04:27 PM",2025-12-05,16:27:00
"AIP","Proposed Sale","16.73","60,000","1,003,800","Dec 05 04:27 PM",2025-12-05,16:27:00
"RYAN","Sale","54.50","4,145,621","225,936,344","Dec 05 04:26 PM",2025-12-05,16:26:00
"ATEC","Proposed Sale","21.28","12,965","275,895","Dec 05 04:26 PM",2025-12-05,16:26:00
"VCYT","Proposed Sale","47.41","20,000","948,200","Dec 05 04:26 PM",2025-12-05,16:26:00
"CYTK","Proposed Sale","66.54","53,528","3,561,753","Dec 05 04:26 PM",2025-12-05,16:26:00
"SHOP","Proposed Sale","162.31","1,200","194,772","Dec 05 04:25 PM",2025-12-05,16:25:00
"TRGP","Proposed Sale","181.21","2,750","498,328","Dec 05 04:25 PM",2025-12-05,16:25:00
"OKTA","Proposed Sale","85.90","1,318","113,216","Dec 05 04:25 PM",2025-12-05,16:25:00
"VG","Proposed Sale","6.89","1,000,000","6,888,600","Dec 05 04:25 PM",2025-12-05,16:25:00
"FIVN","Proposed Sale","20.74","700","14,518","Dec 05 04:25 PM",2025-12-05,16:25:00
"ICE","Proposed Sale","159.11","8,422","1,340,024","Dec 05 04:24 PM",2025-12-05,16:24:00
"GPN","Sale","79.99","11,600","927,884","Dec 05 04:24 PM",2025-12-05,16:24:00
"HCAT","Proposed Sale","2.69","27,425","73,773","Dec 05 04:24 PM",2025-12-05,16:24:00
"SNX","Sale","153.38","168","25,768","Dec 05 04:23 PM",2025-12-05,16:23:00
"ASA","Proposed Sale","52.89","47,949","2,536,023","Dec 05 04:23 PM",2025-12-05,16:23:00
"OPTU","Proposed Sale","1.90","349,582","665,115","Dec 05 04:23 PM",2025-12-05,16:23:00
"BCPC","Sale","153.29","6,000","919,723","Dec 05 04:23 PM",2025-12-05,16:23:00
"DOCU","Sale","64.50","363","23,414","Dec 05 04:22 PM",2025-12-05,16:22:00
"GOLD","Proposed Sale","31.11","55,000","1,711,050","Dec 05 04:22 PM",2025-12-05,16:22:00
"ALKS","Sale","30.00","3,748","112,447","Dec 05 04:21 PM",2025-12-05,16:21:00
"INV","Sale","5.19","55,840","289,810","Dec 05 04:20 PM",2025-12-05,16:20:00
"LOCL","Sale","2.38","1,000","2,380","Dec 05 04:19 PM",2025-12-05,16:19:00
"TPR","Sale","115.17","583","67,144","Dec 05 04:18 PM",2025-12-05,16:18:00
"UTHR","Proposed Sale","483.28","4,000","1,933,120","Dec 05 04:18 PM",2025-12-05,16:18:00
"RDNT","Proposed Sale","78.33","45,088","3,531,955","Dec 05 04:17 PM",2025-12-05,16:17:00
"WEAV","Proposed Sale","6.47","160,000","1,035,136","Dec 05 04:17 PM",2025-12-05,16:17:00
"MTSI","Sale","190.00","2,291","435,290","Dec 05 04:17 PM",2025-12-05,16:17:00
"MTSI","Sale","190.10","76,642","14,569,644","Dec 05 04:17 PM",2025-12-05,16:17:00
"VRTX","Sale","456.00","14,000","6,384,000","Dec 05 04:16 PM",2025-12-05,16:16:00
"QLYS","Sale","145.99","3,077","449,219","Dec 05 04:16 PM",2025-12-05,16:16:00
"QLYS","Sale","150.00","1,000","150,000","Dec 05 04:16 PM",2025-12-05,16:16:00
"ATEC","Proposed Sale","21.49","9,924","213,272","Dec 05 04:15 PM",2025-12-05,16:15:00
"ECOR","Sale","5.05","2,500","12,625","Dec 05 04:15 PM",2025-12-05,16:15:00
"RIG","Sale","4.48","35,000","156,800","Dec 05 04:15 PM",2025-12-05,16:15:00
"RCUS","Sale","24.71","82,997","2,050,599","Dec 05 04:15 PM",2025-12-05,16:15:00
"TEM","Proposed Sale","77.23","3,675","283,802","Dec 05 04:15 PM",2025-12-05,16:15:00
"NTCT","Sale","27.23","2,000","54,460","Dec 05 04:15 PM",2025-12-05,16:15:00
"OGS","Sale","78.86","3,000","236,574","Dec 05 04:15 PM",2025-12-05,16:15:00
"SNX","Sale","155.03","3,000","465,086","Dec 05 04:14 PM",2025-12-05,16:14:00
"CLNN","Proposed Sale","7.46","506,384","3,775,481","Dec 05 04:14 PM",2025-12-05,16:14:00
"FROG","Proposed Sale","63.43","5,460","346,327","Dec 05 04:14 PM",2025-12-05,16:14:00
"GDYN","Proposed Sale","9.66","25,000","241,550","Dec 05 04:13 PM",2025-12-05,16:13:00
"AEO","Proposed Sale","24.00","50,000","1,200,000","Dec 05 04:13 PM",2025-12-05,16:13:00
"DCI","Proposed Sale","92.04","19,800","1,822,372","Dec 05 04:13 PM",2025-12-05,16:13:00
"SLAB","Proposed Sale","141.49","1,954","276,464","Dec 05 04:13 PM",2025-12-05,16:13:00
"EVCM","Proposed Sale","9.84","7,651","75,298","Dec 05 04:13 PM",2025-12-05,16:13:00
"PCTY","Sale","146.90","69","10,136","Dec 05 04:13 PM",2025-12-05,16:13:00
"VRTX","Sale","449.99","4,500","2,024,955","Dec 05 04:12 PM",2025-12-05,16:12:00
"GRAL","Sale","100.00","13,000","1,300,000","Dec 05 04:12 PM",2025-12-05,16:12:00
"PEGA","Proposed Sale","57.87","14,405","833,602","Dec 05 04:12 PM",2025-12-05,16:12:00
"GRAL","Sale","95.24","40,000","3,809,535","Dec 05 04:12 PM",2025-12-05,16:12:00
"GRAL","Sale","99.15","25,000","2,478,818","Dec 05 04:12 PM",2025-12-05,16:12:00
"DYN","Sale","20.72","2,662","55,157","Dec 05 04:11 PM",2025-12-05,16:11:00
"ATEC","Proposed Sale","21.48","10,875","233,600","Dec 05 04:11 PM",2025-12-05,16:11:00
"INSM","Sale","205.62","10,699","2,199,915","Dec 05 04:11 PM",2025-12-05,16:11:00
"YELP","Proposed Sale","30.10","20,325","611,846","Dec 05 04:11 PM",2025-12-05,16:11:00
"MTSI","Proposed Sale","190.09","76,642","14,569,253","Dec 05 04:11 PM",2025-12-05,16:11:00
"SMTC","Proposed Sale","78.92","10,500","828,660","Dec 05 04:10 PM",2025-12-05,16:10:00
"VRTX","Sale","449.20","63,781","28,650,337","Dec 05 04:10 PM",2025-12-05,16:10:00
"TDG","Sale","1362.29","17,526","23,875,414","Dec 05 04:10 PM",2025-12-05,16:10:00
"CDNS","Proposed Sale","340.00","20,000","6,800,000","Dec 05 04:10 PM",2025-12-05,16:10:00
"INTA","Sale","44.98","4,960","223,095","Dec 05 04:09 PM",2025-12-05,16:09:00
"DYN","Sale","20.72","880","18,234","Dec 05 04:09 PM",2025-12-05,16:09:00
"ALEC","Proposed Sale","1.21","4,753","5,751","Dec 05 04:09 PM",2025-12-05,16:09:00
"DYN","Sale","20.72","144","2,984","Dec 05 04:08 PM",2025-12-05,16:08:00
"PATH","Sale","18.20","45,000","818,784","Dec 05 04:08 PM",2025-12-05,16:08:00
"CDNA","Sale","19.17","7,293","139,804","Dec 05 04:07 PM",2025-12-05,16:07:00
"RYAN","Proposed Sale","56.15","173,778","9,757,635","Dec 05 04:07 PM",2025-12-05,16:07:00
"HNGE","Proposed Sale","49.92","2,453","122,454","Dec 05 04:07 PM",2025-12-05,16:07:00
"INTA","Sale","45.00","1,541","69,345","Dec 05 04:07 PM",2025-12-05,16:07:00
"VIAV","Proposed Sale","17.50","40,238","704,165","Dec 05 04:07 PM",2025-12-05,16:07:00
"RYAN","Proposed Sale","56.15","3,971,843","223,018,984","Dec 05 04:07 PM",2025-12-05,16:07:00
"EYPT","Sale","15.11","9,300","140,477","Dec 05 04:06 PM",2025-12-05,16:06:00
"HNGE","Proposed Sale","49.92","2,614","130,491","Dec 05 04:06 PM",2025-12-05,16:06:00
"DOCU","Proposed Sale","64.50","363","23,414","Dec 05 04:06 PM",2025-12-05,16:06:00
"IDCC","Proposed Sale","350.79","1,000","350,790","Dec 05 04:06 PM",2025-12-05,16:06:00
"ONON","Proposed Sale","48.14","15,000","722,100","Dec 05 04:06 PM",2025-12-05,16:06:00
"VRTX","Sale","449.00","347","155,803","Dec 05 04:06 PM",2025-12-05,16:06:00
"DT","Proposed Sale","44.24","253","11,193","Dec 05 04:05 PM",2025-12-05,16:05:00
